Amazon 出品サービス、フルフィルメント by Amazon (FBA),,,,,,,,,,,,,,,,,,,,,,,,,,,
指定のない場合、単位は円,,,,,,,,,,,,,,,,,,,,,,,,,,,
定義：,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税,,,,,,,,,,,,,,,,,,,,,,,,,,,
販売手数料：カテゴリー成約料と販売手数料が含まれます。,,,,,,,,,,,,,,,,,,,,,,,,,,,
トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間,決済番号,トランザクションの種類,注文番号,SKU,説明,数量,Amazon 出品サービス,フルフィルメント,市町村,都道府県,郵便番号,税金徴収型,商品売上,商品の売上税,配送料,配送料の税金,ギフト包装手数料,ギフト包装クレジットの税金,Amazonポイントの費用,プロモーション割引額,プロモーション割引の税金,源泉徴収税を伴うマーケットプレイス,手数料,FBA 手数料,トランザクションに関するその他の手数料,その他,合計
2025/01/05 2:12:39 JST,11911147113,注文,249-1831765-9284652,DAB008-BK,バックパック（サイドポケット付） 20L 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブ�,1,amazon.jp,Amazon,,鹿児島県,895-001,,"5,445",545,0,0,0,0,-60,0,0,0,-783,-465,0,0,"4,682"
2025/01/05 21:31:48 JST,11911147113,注文,249-7232214-1357461,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,神奈川県,245-005,,"2,691",269,0,0,0,0,-30,0,0,0,-387,-485,0,0,"2,058"
2025/01/05 21:34:44 JST,11911147113,注文,503-5298164-7827015,WPO,【2WAY miniサコッシュバッグ・ウエストポーチ・ボディバッグ】トラベル ハイキング 防水 撥水,1,amazon.jp,Amazon,,埼玉県,345-004,,"2,682",268,0,0,0,0,-30,0,0,0,-385,-455,0,0,"2,080"
2025/01/05 21:38:09 JST,11911147113,注文,250-4571364-6088640,SCB004-BK,【改訂版】サコッシュ 小さめ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピ,1,amazon.jp,Amazon,,東京都,192-036,,"2,546",254,209,21,0,0,-28,-209,-21,0,-366,-318,0,0,"2,088"
2025/01/06 0:40:28 JST,11911147113,注文,250-4939139-7143854,DAB008-BK,バックパック（サイドポケット付） 20L 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブ�,1,amazon.jp,Amazon,,千葉県,274-080,,"4,364",436,0,0,0,0,-48,0,0,0,-627,-465,0,0,"3,660"
2025/01/06 2:55:58 JST,11911147113,注文,250-9801130-0729444,SCB004-BK,【改訂版】サコッシュ 小さめ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピ,1,amazon.jp,Amazon,,京都府,612-813,,"2,545",255,0,0,0,0,-28,0,0,0,-366,-318,0,0,"2,088"
2025/01/06 4:04:15 JST,11911147113,注文,250-2898655-7240622,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,神奈川県,216-000,,"2,691",269,0,0,0,0,-30,0,0,0,-387,-485,0,0,"2,058"
2025/01/06 4:12:49 JST,11911147113,注文,249-7864216-2693445,WPO001-BK,ウエストポーチ 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,,東京都,174-007,,"2,182",218,0,0,0,0,-24,0,0,0,-314,-455,0,0,"1,607"
2025/01/06 6:05:32 JST,11911147113,注文,249-1583111-4638215,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,神奈川県,252-001,,"2,400",240,0,0,0,0,-26,0,0,0,-345,-318,0,0,"1,951"
2025/01/06 6:13:25 JST,11911147113,注文,250-8036475-4426260,SCB013,ロールアップサコッシュ 撥水 防水 超軽量 メンズ レディース トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハン�,1,amazon.jp,Amazon,,東京都,116-000,,"3,400",340,0,0,0,0,-37,0,0,0,-488,-514,0,0,"2,701"
